Date,Time,Temperature (C),Humidity,Wind Speed (km/h),Precipitation (mm)
2024-06-17,14:00,31.3,49,15.8,0.01
2024-06-17,15:00,31.2,50,16.9,0.18
2024-06-17,16:00,29.9,55,18.7,0.02
2024-06-17,17:00,28.9,61,19.8,0.04
2024-06-17,18:00,27.8,67,20.5,0.06
2024-06-17,19:00,26.8,73,17.6,0.0
2024-06-17,20:00,26.0,77,16.9,0.0
2024-06-17,21:00,25.5,79,16.6,0.01
2024-06-17,22:00,25.2,80,15.1,0.0
2024-06-17,23:00,24.8,81,14.0,0.0
2024-06-18,00:00,24.6,81,11.5,0.0
2024-06-18,01:00,24.4,82,10.8,0.0
2024-06-18,02:00,24.3,83,11.9,0.0
2024-06-18,03:00,24.1,84,10.8,0.0
2024-06-18,04:00,23.9,85,9.7,0.0
2024-06-18,05:00,23.8,85,8.3,0.0
2024-06-18,06:00,23.7,86,9.7,0.0
2024-06-18,07:00,24.4,81,13.7,0.0
2024-06-18,08:00,25.8,74,14.8,0.0
2024-06-18,09:00,27.2,67,18.0,0.0
2024-06-18,10:00,28.4,62,19.4,0.0
2024-06-18,11:00,29.5,58,21.6,0.0
2024-06-18,12:00,29.9,57,20.5,0.03
2024-06-18,13:00,30.1,57,22.3,0.13
2024-06-18,14:00,30.0,57,23.8,0.03
2024-06-18,15:00,29.6,57,24.5,0.02
2024-06-18,16:00,29.3,57,24.5,0.01
2024-06-18,17:00,28.5,60,25.2,0.01
2024-06-18,18:00,27.1,66,23.4,0.0
2024-06-18,19:00,26.0,73,19.4,0.0
2024-06-18,20:00,25.3,76,18.7,0.0
2024-06-18,21:00,24.8,78,16.2,0.0
2024-06-18,22:00,24.5,79,15.8,0.0
2024-06-18,23:00,24.2,80,13.7,0.0
2024-06-19,00:00,23.9,84,10.8,0.0
2024-06-19,01:00,23.7,85,10.4,0.0
2024-06-19,02:00,23.5,87,10.4,0.0
2024-06-19,03:00,23.3,87,11.2,0.0
2024-06-19,04:00,23.2,87,12.2,0.0
2024-06-19,05:00,23.1,88,10.4,0.0
2024-06-19,06:00,23.1,87,10.4,0.0
2024-06-19,07:00,23.8,82,13.3,0.0
2024-06-19,08:00,25.1,75,15.5,0.0
2024-06-19,09:00,26.6,68,18.4,0.0
2024-06-19,10:00,27.9,62,21.2,0.0
2024-06-19,11:00,28.9,59,22.7,0.0
2024-06-19,12:00,29.7,56,24.8,0.0
2024-06-19,13:00,29.8,55,24.5,0.0
2024-06-19,14:00,29.3,56,25.6,0.0
2024-06-19,15:00,28.8,57,25.6,0.0
2024-06-19,16:00,28.2,60,24.8,0.01
2024-06-19,17:00,27.1,65,24.5,0.0
2024-06-19,18:00,26.1,69,22.3,0.0
2024-06-19,19:00,24.8,73,19.4,0.0
2024-06-19,20:00,24.8,75,18.0,0.0
2024-06-19,21:00,24.4,77,17.6,0.0
2024-06-19,22:00,24.2,79,15.5,0.0
2024-06-19,23:00,24.0,80,14.8,0.0
