Date,Time,Temperature (C),Humidity,Wind Speed (km/h),Precipitation (mm)
18-03-2024,18:00,8.9,30,25.9,0
18-03-2024,19:00,8.2,34,24.1,0
18-03-2024,20:00,7.5,40,22,0
18-03-2024,21:00,6.7,43,20.5,0
18-03-2024,22:00,6,46,20.5,0
18-03-2024,23:00,5.3,50,20.9,0
19-03-2024,00:00,4.7,51,20.5,0
19-03-2024,01:00,4,51,20.5,0
19-03-2024,02:00,3.4,53,20.9,0
19-03-2024,03:00,2.8,58,20.5,0
19-03-2024,04:00,2.3,55,21.2,0
19-03-2024,05:00,1.8,54,21.2,0
19-03-2024,06:00,1.4,55,20.5,0
19-03-2024,07:00,1.3,57,19.4,0
19-03-2024,08:00,1.4,56,20.9,0
19-03-2024,09:00,1.9,47,22.7,0
19-03-2024,10:00,2.9,39,22.7,0
19-03-2024,11:00,4.1,33,22.7,0
19-03-2024,12:00,5.4,30,22.7,0
19-03-2024,13:00,6.3,27,22.7,0
19-03-2024,14:00,6.8,27,25.2,0
19-03-2024,15:00,7.2,28,24.8,0
19-03-2024,16:00,7.4,30,25.2,0
19-03-2024,17:00,7.3,33,25.9,0
19-03-2024,18:00,7.2,35,25.6,0
19-03-2024,19:00,7,38,20.2,0
19-03-2024,20:00,6.9,41,18,0
19-03-2024,21:00,6.7,43,18.4,0
19-03-2024,22:00,6.5,46,22.3,0
19-03-2024,23:00,6.5,47,12.6,0.01
